	RaceHorses_832x448_30.yuv 832 448 30			BasketballDrill_832x448_50.yuv 832 448 50			BQMall_832x448_60.yuv 832 448 60			PartyScene_832x448_50.yuv 832 448 50		
	Time 	PSNR 	Bitrate 	Time 	PSNR 	Bitrate 	Time 	PSNR 	Bitrate 	Time 	PSNR 	Bitrate 
ChromaMEEnable=0	0.11 	0.00 	-0.00 	0.07 	0.00 	-0.00 	0.05 	-0.00 	0.00 	0.07 	-0.00 	-0.00 	
BSliceSearch16x8=0	0.14 	0.00 	-0.00 	0.11 	0.00 	-0.01 	0.10 	0.00 	-0.00 	0.11 	0.00 	-0.00 	
EPZSSubPelMEBipred=0	0.02 	0.00 	0.00 	-0.02 	0.00 	-0.00 	-0.03 	-0.00 	0.00 	-0.01 	-0.00 	-0.00 	
MEDistortionQPel=1	0.02 	-0.00 	-0.05 	-0.00 	-0.00 	-0.03 	0.00 	-0.00 	-0.04 	0.02 	-0.00 	-0.03 	
MEDistortionQPel=0	0.01 	-0.00 	-0.03 	-0.02 	-0.00 	-0.03 	-0.03 	-0.00 	-0.03 	-0.01 	-0.00 	-0.02 	
PSliceSearch16x8=0	0.04 	0.00 	0.00 	0.02 	0.00 	0.00 	0.01 	0.00 	0.00 	0.02 	0.00 	0.00 	
DisableSubpelME=1	0.22 	0.00 	-0.07 	0.24 	0.00 	-0.08 	0.23 	0.00 	-0.04 	0.21 	0.00 	-0.08 	
BiPredMotionEstimation=0	0.22 	0.00 	-0.01 	0.18 	0.00 	-0.01 	0.18 	0.00 	-0.01 	0.17 	0.00 	-0.02 	
RDOQ_Fast=0	-0.56 	-0.00 	0.00 	-1.46 	-0.00 	0.00 	-1.59 	-0.00 	-0.00 	-1.01 	-0.00 	0.00 	
MEDistortionFPel=0	-0.08 	0.00 	0.00 	-0.04 	0.00 	-0.00 	-0.03 	0.00 	0.00 	-0.05 	-0.00 	0.00 	
WeightedBiprediction=1	0.03 	0.00 	0.00 	0.01 	0.00 	0.00 	0.01 	0.00 	0.00 	0.01 	0.00 	0.00 	
WeightedBiprediction=0	0.04 	0.00 	0.00 	0.01 	0.00 	0.00 	0.01 	0.00 	0.00 	0.01 	0.00 	0.00 	
PSliceSearch16x16=0	0.04 	0.00 	0.00 	0.01 	0.00 	0.00 	0.01 	0.00 	0.00 	-0.03 	0.00 	0.00 	
PSliceSearch4x4=0	0.02 	0.00 	0.00 	0.00 	0.00 	0.00 	-0.01 	0.00 	0.00 	0.00 	0.00 	0.00 	
BiPredMESearchRange=4	0.04 	0.00 	0.00 	0.01 	0.00 	0.00 	0.01 	-0.00 	-0.00 	0.01 	0.00 	0.00 	
BiPredMESearchRange=2	0.06 	0.00 	-0.00 	0.02 	0.00 	-0.00 	0.02 	-0.00 	-0.00 	0.02 	0.00 	0.00 	
BiPredMESearchRange=0	0.10 	0.00 	-0.00 	0.05 	0.00 	-0.00 	0.04 	-0.00 	-0.00 	0.05 	-0.00 	-0.00 	
EPZSSubPelME=0	-0.07 	-0.00 	0.00 	-0.09 	0.00 	0.00 	-0.08 	-0.00 	0.00 	-0.05 	-0.00 	0.00 	










c0	-p SearchRange=64 -p PSliceSearch8x16=1 -p NumberReferenceFrames=4 -p PSliceSearch4x8=1 -p BSliceSearch8x4=1 -p BReferencePictures=2 -p BSliceSearch8x8=1 -p UseRDOQuant=1 -p WeightedPrediction=1 -p BiPredMESubPel=2 -p BSliceSearch8x16=1 -p SearchMode=3 -p EPZSPattern=5 -p EPZSDualRefinement=6 -p BiPredMERefinements=1 -p PSliceSearch8x4=1 -p BSliceSearch16x16=1 -p MDDistortion=2 -p MEDistortionHPel=2 -p PSliceSearch8x8=1 -p ChromaMEEnable=2 -p BSliceSearch16x8=1 -p EPZSSubPelMEBipred=1 -p MEDistortionQPel=2 -p PSliceSearch16x8=1 -p DisableSubpelME=0 -p BiPredMotionEstimation=1 -p RDOQ_Fast=1 -p MEDistortionFPel=1 -p WeightedBiprediction=2 -p PSliceSearch16x16=1 -p PSliceSearch4x4=1 -p BiPredMESearchRange=8 -p EPZSSubPelME=1
c1	-p SearchRange=32 -p PSliceSearch8x16=1 -p NumberReferenceFrames=4 -p PSliceSearch4x8=1 -p BSliceSearch8x4=1 -p BReferencePictures=2 -p BSliceSearch8x8=1 -p UseRDOQuant=1 -p WeightedPrediction=1 -p BiPredMESubPel=2 -p BSliceSearch8x16=1 -p SearchMode=3 -p EPZSPattern=5 -p EPZSDualRefinement=6 -p BiPredMERefinements=1 -p PSliceSearch8x4=1 -p BSliceSearch16x16=1 -p MDDistortion=2 -p MEDistortionHPel=2 -p PSliceSearch8x8=1 -p ChromaMEEnable=2 -p BSliceSearch16x8=1 -p EPZSSubPelMEBipred=1 -p MEDistortionQPel=2 -p PSliceSearch16x8=1 -p DisableSubpelME=0 -p BiPredMotionEstimation=1 -p RDOQ_Fast=1 -p MEDistortionFPel=1 -p WeightedBiprediction=2 -p PSliceSearch16x16=1 -p PSliceSearch4x4=1 -p BiPredMESearchRange=8 -p EPZSSubPelME=1
c2	-p SearchRange=16 -p PSliceSearch8x16=1 -p NumberReferenceFrames=4 -p PSliceSearch4x8=1 -p BSliceSearch8x4=1 -p BReferencePictures=2 -p BSliceSearch8x8=1 -p UseRDOQuant=1 -p WeightedPrediction=1 -p BiPredMESubPel=2 -p BSliceSearch8x16=1 -p SearchMode=3 -p EPZSPattern=5 -p EPZSDualRefinement=6 -p BiPredMERefinements=1 -p PSliceSearch8x4=1 -p BSliceSearch16x16=1 -p MDDistortion=2 -p MEDistortionHPel=2 -p PSliceSearch8x8=1 -p ChromaMEEnable=2 -p BSliceSearch16x8=1 -p EPZSSubPelMEBipred=1 -p MEDistortionQPel=2 -p PSliceSearch16x8=1 -p DisableSubpelME=0 -p BiPredMotionEstimation=1 -p RDOQ_Fast=1 -p MEDistortionFPel=1 -p WeightedBiprediction=2 -p PSliceSearch16x16=1 -p PSliceSearch4x4=1 -p BiPredMESearchRange=8 -p EPZSSubPelME=1
